Protein,p_value,q_value,fold_change
sp|P07170|KAD2_YEAST,0.3273474668867851,1.0,0.06457589768618544
sp|P04050|RPB1_YEAST,0.001401923173483723,0.21513585830149123,-0.23370329466018835
sp|P21147|ACO1_YEAST,0.002254058266455088,0.312155933494632,0.8093098767374585
sp|P32324|EF2_YEAST,0.24580689438357867,1.0,0.07122603690989969
sp|P53849|GIS2_YEAST,0.983367957880061,1.0,-0.31581789616747535
sp|P47075|VTC4_YEAST,0.017154966665460798,1.0,0.18261141028096262
sp|P23301|IF5A1_YEAST,0.4312927027571182,1.0,0.009357983937990255
sp|P17967|PDI_YEAST,0.04641828605862742,1.0,0.32352580038756895
sp|P40024|ARB1_YEAST,0.8154233739110341,1.0,-0.38993474997474326
sp|P19882|HSP60_YEAST,0.014038555644957117,0.9963748431376499,0.13111733756329022
sp|Q00955|ACAC_YEAST,0.15540597868257666,1.0,0.03309835657198859
sp|P15624|SYFB_YEAST,0.21215932556764616,1.0,0.40791154091856396
sp|P00445|SODC_YEAST,0.7581819863944512,1.0,-0.34304311564666295
sp|P38249|EIF3A_YEAST,0.09490631365610942,1.0,-0.15074732599336377
sp|P38708|YHI0_YEAST,0.12437676008705104,1.0,0.3148407340108026
O00762ups|UBE2C_HUMAN_UPS,3.197801084051899e-05,0.022489292027906047,2.314907577323658
sp|P39730|IF2P_YEAST,0.956631516601612,1.0,-0.0945344709476043
sp|Q04894|ADH6_YEAST,0.28662894627062746,1.0,0.056612282647117596
sp|P06208|LEU1_YEAST,0.8243606128442169,1.0,-0.32844672177663387
sp|P50085|PHB2_YEAST,0.07517749830325574,1.0,0.6630853201438449
sp|P38720|6PGD1_YEAST,0.09312112427653539,1.0,0.25253501739709106
P10145ups|IL8_HUMAN_UPS,0.00016145632311687801,0.039858186501623864,2.46503930312269
sp|P38793|TRM5_YEAST,0.9526468728807547,1.0,-0.6831478668552515
sp|P02994|EF1A_YEAST,0.16865733160072693,1.0,0.19873817547888623
sp|P07284|SYSC_YEAST,0.30057156741869806,1.0,-0.10991612926773688
sp|P04802|SYDC_YEAST,0.3013623897538871,1.0,-0.0732265566557675
sp|P54838|DAK1_YEAST,0.19242746672476,1.0,0.3353663536611388
sp|P07244|PUR2_YEAST,0.9493774611206452,1.0,-0.1904788683857356
sp|P21264|PUR6_YEAST,0.9711772567546434,1.0,-0.3346588763661463
sp|P38972|PUR4_YEAST,0.010484795977524938,0.8627822588716328,0.1636438555905754
sp|Q12118|SGT2_YEAST,0.13400051261620405,1.0,0.17913570564660652
sp|Q12402|YOP1_YEAST,0.9522515163703137,1.0,-0.14220197283774047
sp|P22515|UBA1_YEAST,0.14895195135166728,1.0,-0.04037120808085035
sp|P41810|COPB_YEAST,0.5257102724309355,1.0,-0.20252601766272585
sp|P08518|RPB2_YEAST,0.8220307366637708,1.0,-0.38139658226882744
sp|P38845|CRP1_YEAST,0.6592952530460123,1.0,-0.19585477751066893
sp|P40202|CCS1_YEAST,0.5124193768711984,1.0,0.035273968372993014
sp|P54115|ALDH6_YEAST,0.8224316840014679,1.0,0.03837824846676677
Q06830ups|PRDX1_HUMAN_UPS,5.207772701380172e-05,0.022489292027906047,1.4644199866271919
sp|P15019|TAL1_YEAST,0.02478424393189802,1.0,0.11565782008308911
sp|P06168|ILV5_YEAST,0.28112459332191503,1.0,0.10665419365183422
sp|P41338|THIL_YEAST,0.38794118796374877,1.0,0.21787331747443398
sp|P38999|LYS9_YEAST,0.5331330516184116,1.0,-0.3600848049655472
sp|Q05946|UTP13_YEAST,0.2521233064696775,1.0,-0.19183514093069753
sp|P46367|ALDH4_YEAST,0.8124412643992915,1.0,-0.34794310506540826
sp|Q12074|SPEE_YEAST,0.07012394788351635,1.0,0.3239198536002441
sp|P12612|TCPA_YEAST,0.009224041125955951,0.7935377798465143,0.4923269493340028
sp|P18562|UPP_YEAST,0.36721893466243777,1.0,0.05574113443120225
sp|Q05022|RRP5_YEAST,0.29561135479452194,1.0,-0.032673625173184215
sp|P10964|RPA1_YEAST,0.6197508551809696,1.0,-0.271451929566779
sp|P36013|MAOM_YEAST,0.6294082123556353,1.0,-0.5887146265608405
sp|P24783|DBP2_YEAST,0.04100139662461235,1.0,0.4445536433115054
sp|Q07478|SUB2_YEAST,0.027253343223650566,1.0,0.46167340670676377
sp|P32288|GLNA_YEAST,0.5419552443250453,1.0,-0.5212184254765572
sp|P13188|SYQ_YEAST,0.3891735824470812,1.0,-0.17073476883957792
sp|P08524|FPPS_YEAST,0.5302209732940539,1.0,-0.18500245558237735
sp|P32449|AROG_YEAST,0.4438357737811109,1.0,-0.4879389382600614
sp|P31539|HS104_YEAST,0.1409576766258658,1.0,-0.19219430023645115
sp|P07251|ATPA_YEAST,0.374094850556875,1.0,-0.26054305758581925
sp|Q08972|NEW1_YEAST,0.17012192479100083,1.0,0.07713185763163312
P12081ups|SYHC_HUMAN_UPS,5.941234987839178e-05,0.022489292027906047,2.444871177433352
sp|P53912|YNN4_YEAST,0.8274447900249349,1.0,-0.44442932134614094
sp|Q04067|EIF3G_YEAST,0.6427875085563017,1.0,0.036729343432419626
sp|P32264|PROB_YEAST,0.008809622003268786,0.7717753644918027,0.9646424277091334
sp|P04147|PABP_YEAST,0.6604693636495504,1.0,0.05787427778660404
sp|P40302|PSA6_YEAST,0.1557584034972472,1.0,0.28107048294698844
P10636-8ups|TAU_HUMAN_UPS,2.8977441877294306e-06,0.01645319922374831,3.041367521950203
sp|P33442|RS3A1_YEAST,0.5659462401460498,1.0,-0.02569058671643276
sp|Q02892|NOG1_YEAST,0.05010210859707202,1.0,0.08074876321112108
sp|P39935|IF4F1_YEAST,0.3341156325721332,1.0,-0.1328232904423475
sp|P00549|KPYK1_YEAST,0.0038779666437219074,0.4586728516653837,0.2898673681133592
sp|P27476|NSR1_YEAST,0.47074241282340923,1.0,-0.024496285817648168
sp|P33322|CBF5_YEAST,0.3788923166106176,1.0,-0.11692050159615953
P08263ups|GSTA1_HUMAN_UPS,4.9154170058799356e-05,0.022489292027906047,2.4551848648828636
sp|P08417|FUMH_YEAST,0.03953685401187962,1.0,0.4944873931228845
sp|P32377|MVD1_YEAST,0.17521175924461924,1.0,0.02143509588046122
sp|P40422|RPAB4_YEAST,0.0002551967948356046,0.057959618719584195,1.0897028304615253
sp|P46655|SYEC_YEAST,0.6475676144538229,1.0,-0.06524730952819362
