Protein,p_value,q_value,fold_change
sp|O88587|COMT_MOUSE,0.7496992810507837,1.0,-1.020155178603595
CON__P04264,0.5558365296988113,1.0,0.10104771329550657
sp|E9Q557|DESP_MOUSE,0.2914878480745304,1.0,0.973570461861766
sp|P21981|TGM2_MOUSE,0.4897046864929474,1.0,-0.5152971191763527
sp|P19096|FAS_MOUSE,0.33385739843631396,1.0,-0.17145025008452547
sp|Q05920|PYC_MOUSE,0.8287649498828181,1.0,-0.4064267219885658
sp|Q8C196|CPSM_MOUSE,0.5340271801855241,1.0,-0.0439097159947476
sp|P58252|EF2_MOUSE,0.2207302660471224,1.0,-0.22831067478785644
sp|Q8BMS1|ECHA_MOUSE,0.06429883900816517,1.0,0.9061936479450661
sp|P57780|ACTN4_MOUSE,0.2577251472982121,1.0,0.04275943154940265
sp|Q00623|APOA1_MOUSE,0.0070055204450996285,0.644578717448581,3.373611503218539
sp|Q99JY9|ARP3_MOUSE,0.40449518299364395,1.0,0.538824902720138
sp|Q99MR8|MCCA_MOUSE,0.9689978693975926,1.0,-0.894071302413224
sp|P24270|CATA_MOUSE,0.4599061024953168,1.0,-0.21631173841804027
sp|Q3TNA1|XYLB_MOUSE,0.6894831026430492,1.0,-1.085632295365367
sp|P05202|AATM_MOUSE,0.16749024217972408,1.0,0.1486278475531943
sp|Q9ET01|PYGL_MOUSE,0.4384925102666406,1.0,0.42323850692113263
sp|P52196|THTR_MOUSE,0.0015177506431150024,0.22123465407121626,1.2114070017578744
sp|Q71RI9|KAT3_MOUSE,0.5260514263685572,1.0,0.24836070732772578
CON__P35527,0.8496752886327128,1.0,-0.8177492705760696
sp|Q9D8N0|EF1G_MOUSE,1.2168283161283019e-05,0.008956840725959142,3.2989488013906763
sp|Q5SWU9|ACACA_MOUSE,0.8827913934035863,1.0,-0.8532617956376884
sp|O09174|AMACR_MOUSE,4.562161977183722e-05,0.01679060129274347,3.2109252163299105
sp|Q922B2|SYDC_MOUSE,0.9395457852099437,1.0,-1.0034571421930583
sp|Q99LC5|ETFA_MOUSE,0.9806041588622667,1.0,-0.7785080978209447
sp|Q9QXF8|GNMT_MOUSE,0.06223361279283034,1.0,-0.01773392002294906
sp|P51660|DHB4_MOUSE,0.24704016771939408,1.0,0.03216080513829027
sp|P54869|HMCS2_MOUSE,0.29768976981690143,1.0,-0.1383078546205309
sp|P68510|1433F_MOUSE,0.37212709755877194,1.0,0.1431941164987407
sp|Q91V92|ACLY_MOUSE,0.2823821602826807,1.0,-0.300757097054839
sp|P32020|NLTP_MOUSE,0.4222404708132856,1.0,0.08281454213126746
sp|P17182|ENOA_MOUSE,0.005650661437487763,0.5671832607891615,0.19620398075756593
sp|P70694|DHB5_MOUSE,0.007667853782123258,0.6623197609789627,0.6657737002036147
sp|P08249|MDHM_MOUSE,0.3304769035086468,1.0,-0.3054273352346054
sp|P49429|HPPD_MOUSE,0.004760790971838581,0.5256490899228009,1.022640433627825
sp|P14152|MDHC_MOUSE,0.39624515876239874,1.0,0.022617364607267505
sp|Q8BWT1|THIM_MOUSE,0.218337202246466,1.0,0.08540320902581083
CON__P13645,0.44988142278574517,1.0,-0.09812420547192657
tr|Q91WT7|Q91WT7_MOUSE,0.17504965978565767,1.0,0.010150734896718916
sp|Q8R0Y6|AL1L1_MOUSE,0.21072544192937284,1.0,0.029242691794674765
sp|O70475|UGDH_MOUSE,0.06893852653649497,1.0,-0.30774375261417575
sp|Q61176|ARGI1_MOUSE,0.02726360778969128,1.0,0.7771092491778925
sp|Q9D1A2|CNDP2_MOUSE,0.5940642290458035,1.0,0.010917926601511141
sp|Q9DCD0|6PGD_MOUSE,0.47611648728592826,1.0,0.0010583884719785885
sp|P97807|FUMH_MOUSE,0.39776170966935054,1.0,-0.37432713523520356
sp|Q9D6Y9|GLGB_MOUSE,0.08425035190104237,1.0,0.16769430926840082
sp|Q91XE4|ACY3_MOUSE,0.27162847734545487,1.0,0.10586099494693713
sp|O08709|PRDX6_MOUSE,0.05411639572191575,1.0,0.41415174545104705
sp|P10649|GSTM1_MOUSE,0.0002029705239756412,0.040746197557987446,3.7961939855059876
sp|Q9QXD6|F16P1_MOUSE,0.3289758940437076,1.0,-0.29836530042569237
sp|Q99KI0|ACON_MOUSE,0.14650324920613264,1.0,-0.3900514934539664
