Protein,p_value,q_value,fold_change
sp|P07170|KAD2_YEAST,0.36198814314271155,1.0,0.0637450525764607
sp|P04050|RPB1_YEAST,0.45625842599667077,1.0,-0.11175014235591743
sp|P21147|ACO1_YEAST,0.7690827411101246,1.0,-0.5815834101065338
sp|P32324|EF2_YEAST,0.6634213231396666,1.0,-0.09168072298770592
sp|P47075|VTC4_YEAST,0.9857828718954076,1.0,-0.9820555911494839
sp|P53849|GIS2_YEAST,0.04247761443281921,1.0,0.8359530749674953
sp|P23301|IF5A1_YEAST,0.5478545753165098,1.0,-0.17939805790201171
sp|P17255|VATA_YEAST,0.018526365504038494,1.0,0.11024710934338852
sp|P17967|PDI_YEAST,0.46300509186360006,1.0,-0.3502613767648098
sp|P40024|ARB1_YEAST,0.13575507727667468,1.0,0.07694909928108346
sp|P19882|HSP60_YEAST,0.9749980723189504,1.0,-0.07826548742890846
sp|Q00955|ACAC_YEAST,0.6763016798839039,1.0,-0.1096227810248506
sp|P15624|SYFB_YEAST,0.3763813149499305,1.0,-0.242646345780598
sp|P00445|SODC_YEAST,0.9792292779977606,1.0,-0.625733506033834
sp|P38249|EIF3A_YEAST,0.14827405027975205,1.0,0.23151627800295885
sp|P38708|YHI0_YEAST,0.5108049985439591,1.0,-0.15010802369519802
sp|P06208|LEU1_YEAST,0.009897183707883332,1.0,0.74637518054332
sp|P39730|IF2P_YEAST,0.47623524396592454,1.0,0.0785227588838117
sp|Q04894|ADH6_YEAST,0.12065081691086592,1.0,-0.039576047679672044
sp|P53261|PESC_YEAST,0.2171568611333141,1.0,-0.1260404973050202
sp|P38720|6PGD1_YEAST,0.7112625807212372,1.0,-0.08094919610678779
P10145ups|IL8_HUMAN_UPS,0.0006619358774941366,0.19580319727213555,2.6386267547598967
sp|P38793|TRM5_YEAST,0.5405547243957702,1.0,-0.020758258559173903
sp|P02994|EF1A_YEAST,0.1722721472322428,1.0,0.0036924640274763553
sp|P07284|SYSC_YEAST,0.7096663711699707,1.0,-0.123189575800123
sp|P54838|DAK1_YEAST,0.19092089455627223,1.0,0.19053812481185162
sp|P52910|ACS2_YEAST,0.6142920959932796,1.0,-0.3427313662421247
sp|P07244|PUR2_YEAST,0.7065985364408764,1.0,-0.12377257215454567
sp|P21264|PUR6_YEAST,0.04269769009471506,1.0,0.6844009442744756
sp|P38972|PUR4_YEAST,0.23242819470073872,1.0,-0.43124501525533443
sp|Q12118|SGT2_YEAST,0.828303438070938,1.0,-0.544449515239923
sp|P22515|UBA1_YEAST,0.7144064791614293,1.0,-0.17168035290970649
sp|P41810|COPB_YEAST,0.38011734236488576,1.0,0.11916899629147386
sp|P08518|RPB2_YEAST,0.6596653873384101,1.0,-0.26562909786614775
sp|P38845|CRP1_YEAST,0.8351717410861578,1.0,0.014275431334824043
sp|P40202|CCS1_YEAST,0.9040510560970804,1.0,-0.11764448722318566
sp|P54115|ALDH6_YEAST,0.9294510774834508,1.0,-0.13239910259836438
Q06830ups|PRDX1_HUMAN_UPS,8.027145309935825e-05,0.05012750333573294,2.9037899998989474
sp|P15019|TAL1_YEAST,0.9717539807452268,1.0,-0.26122579342606667
sp|P06168|ILV5_YEAST,0.9725347141318875,1.0,-0.3637295803203582
sp|P38999|LYS9_YEAST,0.10742354270858617,1.0,-0.12914030651017755
sp|P41338|THIL_YEAST,0.8398795776997374,1.0,-0.18526581000991862
sp|Q05946|UTP13_YEAST,0.007226652959759613,1.0,0.04836530382257287
sp|P46367|ALDH4_YEAST,0.15052794023324692,1.0,0.08101322639977464
sp|Q12074|SPEE_YEAST,0.7560351555376343,1.0,-0.2027360886599059
sp|P12612|TCPA_YEAST,0.24887525473003955,1.0,-0.03748431979589003
sp|P18562|UPP_YEAST,0.4883900535963358,1.0,0.0008755458904147418
sp|Q05022|RRP5_YEAST,0.25550848646043056,1.0,-0.061829138655616234
sp|P10964|RPA1_YEAST,0.3473668077105713,1.0,0.052321656608611544
sp|P36013|MAOM_YEAST,0.42879225405472204,1.0,-0.46987931860364923
sp|P24783|DBP2_YEAST,0.4103734065491328,1.0,-0.3169632794651538
sp|Q07478|SUB2_YEAST,0.4608095231834187,1.0,-0.08594044383241536
